### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,7512,4482,77.289,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,3202,669,1
1,3840,5807,1
2,8919,7231,1
3,1730,524,1
4,9181,7268,1
5,6234,1441,1
6,1443,5808,1
7,5778,701,1
8,558,9149,1
9,6340,6544,1
10,2252,1775,1
11,8564,7133,1
12,2125,6570,1
13,6085,4969,1
14,6789,576,1
15,5257,9284,1
16,8133,7690,1
17,4116,3250,1
18,2684,9836,1
19,5704,6523,1
20,388,9133,1
21,296,1591,1
22,3072,1868,1
23,9119,6904,1
24,8889,6095,1
25,2450,358,1
26,4038,8435,1
27,8445,3333,1
28,6932,7918,1
29,2436,5373,1
30,5119,3866,1
31,8791,4757,1
32,6519,9336,1
33,5780,9172,1
34,4859,8008,1
35,9601,1904,1
36,1215,8972,1
37,5349,9457,1
38,534,3378,1
39,1116,7308,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
