### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,9761,6061,83.6388,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1022,7094,1
1,7379,9382,1
2,7917,3020,1
3,5324,645,1
4,1202,4258,1
5,5943,7351,1
6,3442,2093,1
7,9005,8098,1
8,2868,1104,1
9,306,9408,1
10,6432,7616,1
11,6811,7842,1
12,5229,3025,1
13,3172,7322,1
14,4195,5274,1
15,9142,9768,1
16,1510,4544,1
17,4711,7474,1
18,5606,9125,1
19,5233,6834,1
20,4457,5097,1
21,2032,7690,1
22,1345,5128,1
23,3489,7426,1
24,9585,5580,1
25,5203,8446,1
26,4537,9513,1
27,1638,3194,1
28,4303,969,1
29,3683,3105,1
30,2834,760,1
31,6599,5451,1
32,3356,98,1
33,6353,85,1
34,6098,3906,1
35,4993,1301,1
36,5012,2573,1
37,7712,9947,1
38,9471,9682,1
39,9625,9545,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
