### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,8442,4924,142.843,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,4051,1822,1
1,6375,6008,1
2,7455,1849,1
3,1931,4104,1
4,6689,9049,1
5,4417,8866,1
6,1337,5281,1
7,8806,8932,1
8,3763,324,1
9,3144,8568,1
10,7236,6038,1
11,2551,7528,1
12,3857,6063,1
13,9017,8238,1
14,6033,1490,1
15,3511,4143,1
16,492,8544,1
17,309,6189,1
18,9493,3569,1
19,2692,6629,1
20,8480,7019,1
21,435,5251,1
22,5804,1338,1
23,9631,2317,1
24,4135,3433,1
25,179,4979,1
26,7058,4591,1
27,3574,5876,1
28,7167,4774,1
29,2068,6756,1
30,3831,4443,1
31,2537,1564,1
32,1782,3513,1
33,4140,2350,1
34,7718,9435,1
35,8432,8716,1
36,1829,7451,1
37,1703,351,1
38,3171,3410,1
39,4074,319,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
