### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,5489,7754,95.5023,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,8276,1210,1
1,2939,2060,1
2,4797,9262,1
3,9172,9764,1
4,1017,1889,1
5,9358,8937,1
6,5315,9741,1
7,7322,6150,1
8,1330,8503,1
9,8549,6691,1
10,139,4405,1
11,5373,763,1
12,3282,4939,1
13,9543,7436,1
14,5068,3476,1
15,4171,8672,1
16,4417,2256,1
17,1240,7610,1
18,3291,8660,1
19,1969,889,1
20,1724,8247,1
21,3643,7181,1
22,8407,8532,1
23,4238,5003,1
24,3779,6686,1
25,3682,5513,1
26,5812,8123,1
27,1931,4492,1
28,6640,103,1
29,1416,3491,1
30,901,762,1
31,7508,8414,1
32,1893,5411,1
33,6616,9573,1
34,9122,4037,1
35,965,990,1
36,4911,7092,1
37,6359,4719,1
38,783,2816,1
39,71,9967,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
