### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,25,447,-153.911,0,255,0,0,100,1,1
1,759,640,75.4135,0,255,0,0,100,1,1
2,882,689,42.4403,0,255,0,0,100,1,1
3,583,372,-122.366,0,255,0,0,100,1,1
4,678,177,172.851,0,255,0,0,100,1,1
5,119,452,-146.44,0,255,0,0,100,1,1
6,713,333,-91.9225,0,255,0,0,100,1,1
7,859,406,122.365,0,255,0,0,100,1,1
8,333,425,38.3603,0,255,0,0,100,1,1
9,336,527,160.548,0,255,0,0,100,1,1
10,837,783,-142.702,0,255,0,0,100,1,1
11,790,741,-74.1707,0,255,0,0,100,1,1
12,268,300,-134.561,0,255,0,0,100,1,1
13,275,684,46.4724,0,255,0,0,100,1,1
14,442,126,-167.225,0,255,0,0,100,1,1
15,559,309,68.0346,0,255,0,0,100,1,1
16,349,149,118.911,0,255,0,0,100,1,1
17,544,769,108.496,0,255,0,0,100,1,1
18,436,582,-93.7613,0,255,0,0,100,1,1
19,767,869,-149.854,0,255,0,0,100,1,1
20,332,796,-159.043,0,255,0,0,100,1,1
21,228,727,23.487,0,255,0,0,100,1,1
22,725,340,-132.715,0,255,0,0,100,1,1
23,829,208,60.4367,0,255,0,0,100,1,1
24,315,562,167.886,0,255,0,0,100,1,1
25,261,404,161.005,0,255,0,0,100,1,1
26,507,667,-61.5511,0,255,0,0,100,1,1
27,352,769,-112.467,0,255,0,0,100,1,1
28,36,604,-16.3807,0,255,0,0,100,1,1
29,211,502,-137.164,0,255,0,0,100,1,1
30,240,677,113.827,0,255,0,0,100,1,1
31,532,291,30.9154,0,255,0,0,100,1,1
32,757,361,-100.236,0,255,0,0,100,1,1
33,166,835,57.4664,0,255,0,0,100,1,1
34,547,862,97.4986,0,255,0,0,100,1,1
35,535,91,20.3161,0,255,0,0,100,1,1
36,540,716,-116.624,0,255,0,0,100,1,1
37,230,434,103.522,0,255,0,0,100,1,1
38,323,242,-44.5846,0,255,0,0,100,1,1
39,352,895,-7.41588,0,255,0,0,100,1,1
40,433,514,-64.1551,0,255,0,0,100,1,1
41,256,450,-55.5606,0,255,0,0,100,1,1
42,581,321,-24.9115,0,255,0,0,100,1,1
43,299,428,-19.7898,0,255,0,0,100,1,1
44,255,444,-29.3791,0,255,0,0,100,1,1
45,841,358,-59.2898,0,255,0,0,100,1,1
46,347,374,-81.1089,0,255,0,0,100,1,1
47,115,684,-119.861,0,255,0,0,100,1,1
48,254,214,-161.482,0,255,0,0,100,1,1
49,625,650,149.071,0,255,0,0,100,1,1
50,418,471,174.394,0,255,0,0,100,1,1
51,238,204,-14.2469,0,255,0,0,100,1,1
52,474,909,79.5011,0,255,0,0,100,1,1
53,410,522,36.1105,0,255,0,0,100,1,1
54,667,766,-94.8305,0,255,0,0,100,1,1
55,626,114,-6.73483,0,255,0,0,100,1,1
56,484,866,-175.987,0,255,0,0,100,1,1
57,555,565,93.7897,0,255,0,0,100,1,1
58,632,713,-134.841,0,255,0,0,100,1,1
59,319,226,111.4,0,255,0,0,100,1,1
60,692,100,-40.7539,0,255,0,0,100,1,1
61,460,924,104.538,0,255,0,0,100,1,1
62,969,437,-168.795,0,255,0,0,100,1,1
63,400,519,-50.1791,0,255,0,0,100,1,1
64,871,455,179.985,0,255,0,0,100,1,1
65,622,921,-153.277,0,255,0,0,100,1,1
66,384,456,-115.571,0,255,0,0,100,1,1
67,323,337,-3.75998,0,255,0,0,100,1,1
68,86,367,91.9961,0,255,0,0,100,1,1
69,183,746,28.7857,0,255,0,0,100,1,1
70,893,673,-148.52,0,255,0,0,100,1,1
71,728,241,25.9005,0,255,0,0,100,1,1
72,447,183,37.0539,0,255,0,0,100,1,1
73,694,800,-88.1364,0,255,0,0,100,1,1
74,212,808,-96.8896,0,255,0,0,100,1,1
75,570,311,-65.2595,0,255,0,0,100,1,1
76,357,234,87.4573,0,255,0,0,100,1,1
77,750,830,-26.0346,0,255,0,0,100,1,1
78,150,364,67.3035,0,255,0,0,100,1,1
79,583,857,14.6127,0,255,0,0,100,1,1
80,71,344,161.257,0,255,0,0,100,1,1
81,479,50,124.384,0,255,0,0,100,1,1
82,593,603,27.2087,0,255,0,0,100,1,1
83,402,711,44.0825,0,255,0,0,100,1,1
84,480,958,63.1058,0,255,0,0,100,1,1
85,651,911,92.0515,0,255,0,0,100,1,1
86,360,309,-24.7432,0,255,0,0,100,1,1
87,382,726,0.596505,0,255,0,0,100,1,1
88,707,193,41.9422,0,255,0,0,100,1,1
89,583,828,165.113,0,255,0,0,100,1,1
90,740,368,80.7688,0,255,0,0,100,1,1
91,313,144,49.5898,0,255,0,0,100,1,1
92,725,766,-34.3987,0,255,0,0,100,1,1
93,446,647,-100.035,0,255,0,0,100,1,1
94,149,568,-37.9775,0,255,0,0,100,1,1
95,595,111,166.904,0,255,0,0,100,1,1
96,833,375,78.9777,0,255,0,0,100,1,1
97,789,236,118.208,0,255,0,0,100,1,1
98,60,578,-30.3718,0,255,0,0,100,1,1
99,256,413,-133.046,0,255,0,0,100,1,1
100,550,243,-136.033,0,255,0,0,100,1,1
101,421,280,-164.461,0,255,0,0,100,1,1
102,348,275,-67.7988,0,255,0,0,100,1,1
103,686,494,176.681,0,255,0,0,100,1,1
104,458,536,-161.173,0,255,0,0,100,1,1
105,648,491,-178.164,0,255,0,0,100,1,1
106,795,830,-100.255,0,255,0,0,100,1,1
107,143,602,-68.4813,0,255,0,0,100,1,1
108,31,488,24.8307,0,255,0,0,100,1,1
109,884,340,-8.87766,0,255,0,0,100,1,1
110,106,716,-108.727,0,255,0,0,100,1,1
111,201,777,7.06812,0,255,0,0,100,1,1
112,841,622,118.399,0,255,0,0,100,1,1
113,671,393,126.21,0,255,0,0,100,1,1
114,297,341,-148.133,0,255,0,0,100,1,1
115,199,705,-122.836,0,255,0,0,100,1,1
116,113,755,-72.3353,0,255,0,0,100,1,1
117,818,750,177.57,0,255,0,0,100,1,1
118,125,414,9.03211,0,255,0,0,100,1,1
119,300,924,22.3759,0,255,0,0,100,1,1
120,406,763,-40.105,0,255,0,0,100,1,1
121,492,243,-29.0319,0,255,0,0,100,1,1
122,580,541,-21.1399,0,255,0,0,100,1,1
