### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,160,4731,112.157,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,2457,1793,1
1,45,4387,1
2,8534,2083,1
3,2680,5159,1
4,6842,5270,1
5,4634,3140,1
6,104,1407,1
7,2082,5379,1
8,6797,9645,1
9,2203,8030,1
10,4993,7997,1
11,6914,7304,1
12,2255,4663,1
13,5979,1532,1
14,5590,1753,1
15,5329,4058,1
16,9622,5871,1
17,4259,5328,1
18,1913,1282,1
19,3774,7092,1
20,910,8244,1
21,978,6627,1
22,3177,4839,1
23,2949,7425,1
24,5827,508,1
25,9843,3676,1
26,9479,6109,1
27,3220,1117,1
28,2958,9532,1
29,2545,8050,1
30,6956,7903,1
31,8928,7003,1
32,2093,3358,1
33,8156,1909,1
34,9839,1200,1
35,5671,3292,1
36,6817,988,1
37,4461,2371,1
38,1755,6771,1
39,7414,2265,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
