### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,1992,4919,-69.9162,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,8547,5194,1
1,7250,6525,1
2,8255,3189,1
3,3461,9367,1
4,8284,3750,1
5,2098,3652,1
6,5642,8031,1
7,3349,560,1
8,567,2423,1
9,3929,4797,1
10,5525,9861,1
11,4376,1632,1
12,3666,1597,1
13,1026,3340,1
14,5999,6245,1
15,302,6648,1
16,2586,3885,1
17,9271,5118,1
18,36,9917,1
19,9958,2676,1
20,4223,5804,1
21,4359,1380,1
22,5629,1357,1
23,2244,1651,1
24,6503,6881,1
25,6010,3153,1
26,1927,6031,1
27,1604,9527,1
28,6859,6753,1
29,2724,3692,1
30,9869,5174,1
31,7988,7690,1
32,6172,7264,1
33,2453,7493,1
34,7494,3078,1
35,8101,7873,1
36,8680,8098,1
37,5012,1091,1
38,2842,8289,1
39,3323,2132,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
