### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,6647,5260,140.148,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,6104,7954,1
1,8121,1602,1
2,8418,7286,1
3,4400,7118,1
4,9076,9951,1
5,1497,6510,1
6,6384,4412,1
7,4538,7723,1
8,8814,2078,1
9,5690,6446,1
10,7668,7799,1
11,4082,647,1
12,1264,8214,1
13,9050,9773,1
14,1960,2961,1
15,2760,579,1
16,5634,561,1
17,4612,9420,1
18,3136,5244,1
19,8343,5077,1
20,6891,7762,1
21,1801,8170,1
22,8940,6239,1
23,1476,4810,1
24,3411,4433,1
25,8966,8300,1
26,7078,4361,1
27,2669,9136,1
28,1126,2477,1
29,5520,4676,1
30,4577,4814,1
31,3917,7832,1
32,9613,1065,1
33,168,9159,1
34,834,7959,1
35,7496,1514,1
36,6646,1620,1
37,2618,9932,1
38,4496,5991,1
39,9162,2768,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
