### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,3476,137,84.9109,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,4817,8211,1
1,159,77,1
2,1702,7809,1
3,9508,1297,1
4,198,367,1
5,904,8746,1
6,7978,7182,1
7,1859,508,1
8,1350,59,1
9,2999,9319,1
10,4709,9799,1
11,8275,8917,1
12,5236,8861,1
13,9663,8270,1
14,340,3595,1
15,1794,9460,1
16,9847,5171,1
17,1532,9208,1
18,6700,1850,1
19,1654,2633,1
20,4762,5447,1
21,1791,9647,1
22,2023,2671,1
23,9613,6806,1
24,1753,8394,1
25,2266,7729,1
26,6698,2457,1
27,4504,2943,1
28,5785,5113,1
29,4699,8650,1
30,1289,1176,1
31,3902,2761,1
32,6461,6242,1
33,871,4088,1
34,1498,6408,1
35,5051,2422,1
36,3702,6900,1
37,9053,5391,1
38,2608,5483,1
39,1973,9170,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
