### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,6817,5064,-36.0118,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,3760,4236,1
1,3493,3675,1
2,3583,9793,1
3,2930,8304,1
4,1964,8549,1
5,8616,7168,1
6,4735,2664,1
7,7446,3920,1
8,9003,2176,1
9,6089,877,1
10,2673,5900,1
11,4952,154,1
12,3865,2113,1
13,3228,8003,1
14,1994,9984,1
15,1037,9374,1
16,557,1006,1
17,1854,3257,1
18,8874,3349,1
19,1536,6667,1
20,2675,6842,1
21,6028,1407,1
22,7197,5988,1
23,8444,121,1
24,7929,6039,1
25,947,9699,1
26,9100,8365,1
27,1549,5930,1
28,1386,4186,1
29,1234,7138,1
30,4955,7208,1
31,2113,3610,1
32,3748,5640,1
33,4923,1114,1
34,9830,9553,1
35,5654,5472,1
36,8079,9029,1
37,8411,487,1
38,9207,6935,1
39,268,3300,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
