### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,2021,829,-7.09312,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1701,8454,1
1,6543,9467,1
2,9301,5679,1
3,9445,2654,1
4,8633,7713,1
5,2660,7037,1
6,9816,3056,1
7,641,4436,1
8,2252,183,1
9,6752,1581,1
10,9411,8561,1
11,4692,5382,1
12,8570,4065,1
13,6425,7990,1
14,4049,4319,1
15,5552,3685,1
16,1624,7109,1
17,7095,54,1
18,6184,1384,1
19,9497,2093,1
20,908,5806,1
21,5989,103,1
22,1678,9986,1
23,4159,3080,1
24,3126,1207,1
25,3731,8236,1
26,6807,4787,1
27,5102,6982,1
28,3306,2646,1
29,4806,454,1
30,4909,810,1
31,1087,6282,1
32,3228,3884,1
33,6468,2133,1
34,4305,9059,1
35,6272,6367,1
36,2926,8250,1
37,4811,7914,1
38,6348,9098,1
39,7716,9024,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
