### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,9105,853,102.881,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,5091,5201,1
1,4847,1225,1
2,2100,4617,1
3,9139,6403,1
4,9123,4446,1
5,7602,7451,1
6,2631,2443,1
7,6592,8247,1
8,6324,8808,1
9,2580,3791,1
10,3280,3826,1
11,2291,7819,1
12,7667,1600,1
13,6254,531,1
14,9971,1086,1
15,7587,4571,1
16,2108,6201,1
17,8966,6882,1
18,1649,7117,1
19,5236,7519,1
20,1314,4030,1
21,9494,8861,1
22,3522,2999,1
23,8600,3392,1
24,7492,4135,1
25,3797,8877,1
26,4637,2619,1
27,1471,1080,1
28,427,9633,1
29,7248,7115,1
30,9075,3251,1
31,2727,3202,1
32,2114,2182,1
33,4641,7816,1
34,593,8567,1
35,6365,5548,1
36,8153,7771,1
37,5290,4771,1
38,2531,5453,1
39,1316,494,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
