### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,8012,3492,-41.286,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,3671,9126,1
1,5043,2093,1
2,4080,4623,1
3,1532,947,1
4,5181,5927,1
5,7832,7815,1
6,4383,1065,1
7,7915,6327,1
8,5029,7023,1
9,790,4316,1
10,6817,4360,1
11,6781,3697,1
12,5377,7524,1
13,8027,2972,1
14,6338,6888,1
15,6335,5515,1
16,7202,5260,1
17,1748,2682,1
18,4079,8686,1
19,9724,1266,1
20,2946,8403,1
21,5375,4531,1
22,2918,3346,1
23,5835,1098,1
24,4201,5743,1
25,1587,6800,1
26,4799,2922,1
27,3925,8211,1
28,4138,657,1
29,2515,7345,1
30,7253,3280,1
31,6866,5883,1
32,5800,909,1
33,635,6530,1
34,7908,4448,1
35,1494,254,1
36,6165,2301,1
37,4159,8433,1
38,59,819,1
39,9215,7577,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
