### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,8575,6524,-173.106,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,36,514,1
1,5944,9031,1
2,2411,82,1
3,8371,8730,1
4,5837,519,1
5,133,1638,1
6,6453,7246,1
7,3466,2761,1
8,4875,4076,1
9,9950,9918,1
10,5325,9373,1
11,2398,2076,1
12,3469,7277,1
13,8537,2577,1
14,2588,864,1
15,5850,819,1
16,94,9394,1
17,5387,3816,1
18,4471,3794,1
19,8057,8434,1
20,7045,6667,1
21,5085,7247,1
22,5992,788,1
23,619,1085,1
24,5503,2214,1
25,3623,6138,1
26,5590,5252,1
27,7202,3375,1
28,3557,3048,1
29,2461,3793,1
30,1183,5637,1
31,1665,7174,1
32,1857,7529,1
33,3310,8550,1
34,5208,4292,1
35,8551,8602,1
36,6798,1889,1
37,7944,7833,1
38,4279,7679,1
39,78,3382,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
