### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,4712,3157,106.661,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,9261,14,1
1,4536,6171,1
2,9588,8010,1
3,32,9666,1
4,2979,531,1
5,4518,3756,1
6,8676,9933,1
7,2949,34,1
8,8267,8351,1
9,4607,8741,1
10,4233,7280,1
11,7077,2327,1
12,2883,220,1
13,820,284,1
14,8314,681,1
15,4361,8561,1
16,2560,2001,1
17,7877,8026,1
18,1917,784,1
19,8151,6542,1
20,9535,9847,1
21,4057,2253,1
22,484,165,1
23,5472,413,1
24,454,9042,1
25,2299,6755,1
26,3291,5561,1
27,2629,5735,1
28,5603,1569,1
29,3063,5237,1
30,1427,8718,1
31,6715,5921,1
32,2644,7648,1
33,1065,3835,1
34,7377,8156,1
35,66,2443,1
36,3263,7831,1
37,5298,1152,1
38,7288,6398,1
39,1491,3801,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
