### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,141,582,-11.3448,0,255,0,0,100,1,1
1,170,370,110.244,0,255,0,0,100,1,1
2,145,349,151.268,0,255,0,0,100,1,1
3,217,851,143.529,0,255,0,0,100,1,1
4,815,313,-33.9509,0,255,0,0,100,1,1
5,352,614,-129.969,0,255,0,0,100,1,1
6,251,141,-168.936,0,255,0,0,100,1,1
7,371,40,142.569,0,255,0,0,100,1,1
8,490,440,-159.639,0,255,0,0,100,1,1
9,699,785,102.781,0,255,0,0,100,1,1
10,600,526,-116.455,0,255,0,0,100,1,1
11,367,379,-143.702,0,255,0,0,100,1,1
12,718,618,-78.4578,0,255,0,0,100,1,1
13,162,402,117.262,0,255,0,0,100,1,1
14,444,825,-70.9915,0,255,0,0,100,1,1
15,571,230,-46.8196,0,255,0,0,100,1,1
16,514,570,77.8562,0,255,0,0,100,1,1
17,130,722,-85.1635,0,255,0,0,100,1,1
18,308,506,125.044,0,255,0,0,100,1,1
19,685,135,-44.2039,0,255,0,0,100,1,1
20,776,124,-50.6037,0,255,0,0,100,1,1
21,288,267,-1.54136,0,255,0,0,100,1,1
22,867,618,-73.7274,0,255,0,0,100,1,1
23,843,604,156.462,0,255,0,0,100,1,1
24,512,426,-95.083,0,255,0,0,100,1,1
25,703,507,110.905,0,255,0,0,100,1,1
26,241,717,61.4458,0,255,0,0,100,1,1
27,30,537,109.646,0,255,0,0,100,1,1
28,243,182,-75.0368,0,255,0,0,100,1,1
29,574,951,-58.4056,0,255,0,0,100,1,1
30,499,420,-92.3357,0,255,0,0,100,1,1
31,746,697,162.531,0,255,0,0,100,1,1
32,620,154,96.0367,0,255,0,0,100,1,1
33,779,314,23.6372,0,255,0,0,100,1,1
34,280,854,55.3672,0,255,0,0,100,1,1
35,208,761,-166.41,0,255,0,0,100,1,1
36,312,265,-123.986,0,255,0,0,100,1,1
37,935,538,43.9613,0,255,0,0,100,1,1
38,790,828,-170.495,0,255,0,0,100,1,1
39,959,536,64.8282,0,255,0,0,100,1,1
40,756,593,41.1204,0,255,0,0,100,1,1
41,862,554,-87.6356,0,255,0,0,100,1,1
42,219,467,129.487,0,255,0,0,100,1,1
43,332,833,47.2455,0,255,0,0,100,1,1
44,720,232,3.5099,0,255,0,0,100,1,1
45,164,375,43.415,0,255,0,0,100,1,1
46,751,404,-144.345,0,255,0,0,100,1,1
47,940,566,47.0622,0,255,0,0,100,1,1
48,347,706,73.6935,0,255,0,0,100,1,1
49,324,739,149.125,0,255,0,0,100,1,1
50,98,410,169.543,0,255,0,0,100,1,1
51,288,112,-87.5354,0,255,0,0,100,1,1
52,329,493,-74.0633,0,255,0,0,100,1,1
53,744,147,-148.94,0,255,0,0,100,1,1
54,562,156,89.2917,0,255,0,0,100,1,1
55,900,251,-55.1843,0,255,0,0,100,1,1
56,490,725,70.1407,0,255,0,0,100,1,1
57,695,890,-102.046,0,255,0,0,100,1,1
58,285,570,-61.3337,0,255,0,0,100,1,1
59,143,261,105.103,0,255,0,0,100,1,1
60,594,302,129.911,0,255,0,0,100,1,1
61,799,848,-170.994,0,255,0,0,100,1,1
62,399,183,64.4484,0,255,0,0,100,1,1
63,205,251,155.183,0,255,0,0,100,1,1
64,956,497,28.0836,0,255,0,0,100,1,1
65,524,257,178.923,0,255,0,0,100,1,1
66,194,335,48.0397,0,255,0,0,100,1,1
67,778,413,153.123,0,255,0,0,100,1,1
68,586,310,80.4639,0,255,0,0,100,1,1
69,501,817,100.918,0,255,0,0,100,1,1
70,289,314,90.4871,0,255,0,0,100,1,1
71,105,436,141.908,0,255,0,0,100,1,1
72,201,368,-126.733,0,255,0,0,100,1,1
73,516,961,13.9044,0,255,0,0,100,1,1
74,158,239,72.2678,0,255,0,0,100,1,1
75,151,709,-31.6749,0,255,0,0,100,1,1
76,416,82,9.53932,0,255,0,0,100,1,1
77,254,795,-27.2207,0,255,0,0,100,1,1
78,495,140,28.2516,0,255,0,0,100,1,1
79,680,844,97.9829,0,255,0,0,100,1,1
80,467,428,-77.1631,0,255,0,0,100,1,1
81,411,315,-171.483,0,255,0,0,100,1,1
82,888,571,-120.038,0,255,0,0,100,1,1
83,202,714,-37.4362,0,255,0,0,100,1,1
84,397,444,-39.5176,0,255,0,0,100,1,1
85,321,811,145.726,0,255,0,0,100,1,1
86,527,316,165.965,0,255,0,0,100,1,1
87,611,305,11.3601,0,255,0,0,100,1,1
88,810,165,-163.563,0,255,0,0,100,1,1
89,758,321,-121.84,0,255,0,0,100,1,1
90,627,297,172.563,0,255,0,0,100,1,1
91,664,723,-147.291,0,255,0,0,100,1,1
92,883,324,26.7483,0,255,0,0,100,1,1
93,463,868,-97.7531,0,255,0,0,100,1,1
94,873,554,8.30271,0,255,0,0,100,1,1
95,231,134,159.799,0,255,0,0,100,1,1
96,677,394,-5.22963,0,255,0,0,100,1,1
97,58,540,-179.326,0,255,0,0,100,1,1
98,207,732,-71.8296,0,255,0,0,100,1,1
99,488,289,116.85,0,255,0,0,100,1,1
100,312,825,-4.99587,0,255,0,0,100,1,1
101,110,595,-114.714,0,255,0,0,100,1,1
102,763,651,131.369,0,255,0,0,100,1,1
103,96,368,150.343,0,255,0,0,100,1,1
104,417,777,-69.771,0,255,0,0,100,1,1
105,689,682,-131.379,0,255,0,0,100,1,1
106,869,655,72.4568,0,255,0,0,100,1,1
107,358,695,116.106,0,255,0,0,100,1,1
108,509,547,17.6191,0,255,0,0,100,1,1
109,739,691,-73.3886,0,255,0,0,100,1,1
110,673,93,-43.1663,0,255,0,0,100,1,1
111,666,258,139.927,0,255,0,0,100,1,1
112,468,132,95.1753,0,255,0,0,100,1,1
113,768,732,135.689,0,255,0,0,100,1,1
114,136,354,70.2756,0,255,0,0,100,1,1
115,235,207,77.4452,0,255,0,0,100,1,1
116,893,673,12.2046,0,255,0,0,100,1,1
117,606,335,-88.5356,0,255,0,0,100,1,1
118,212,704,159.424,0,255,0,0,100,1,1
119,299,783,-144.873,0,255,0,0,100,1,1
120,374,791,9.77381,0,255,0,0,100,1,1
121,272,346,-128.963,0,255,0,0,100,1,1
122,697,390,-127.358,0,255,0,0,100,1,1
123,578,293,-166.574,0,255,0,0,100,1,1
124,635,338,-166.723,0,255,0,0,100,1,1
125,154,467,-57.789,0,255,0,0,100,1,1
126,142,228,80.2084,0,255,0,0,100,1,1
127,886,478,16.9583,0,255,0,0,100,1,1
128,224,831,153.734,0,255,0,0,100,1,1
129,334,146,-77.3975,0,255,0,0,100,1,1
130,255,602,-124.801,0,255,0,0,100,1,1
131,437,762,-116.624,0,255,0,0,100,1,1
132,136,553,-125.483,0,255,0,0,100,1,1
133,529,369,121.923,0,255,0,0,100,1,1
134,603,596,-133.213,0,255,0,0,100,1,1
135,670,243,-45.1916,0,255,0,0,100,1,1
136,683,591,34.6368,0,255,0,0,100,1,1
137,289,297,172.492,0,255,0,0,100,1,1
138,186,430,170.232,0,255,0,0,100,1,1
139,809,773,-15.1472,0,255,0,0,100,1,1
140,299,910,-63.2062,0,255,0,0,100,1,1
141,447,588,-68.7193,0,255,0,0,100,1,1
142,72,381,156.826,0,255,0,0,100,1,1
143,355,898,30.1403,0,255,0,0,100,1,1
144,264,732,-3.38141,0,255,0,0,100,1,1
145,692,645,21.1748,0,255,0,0,100,1,1
146,458,527,56.8653,0,255,0,0,100,1,1
147,234,305,1.8743,0,255,0,0,100,1,1
148,333,90,170.313,0,255,0,0,100,1,1
149,254,570,-141.537,0,255,0,0,100,1,1
150,337,68,52.1663,0,255,0,0,100,1,1
151,760,687,-122.936,0,255,0,0,100,1,1
152,221,575,33.9807,0,255,0,0,100,1,1
153,844,223,59.6882,0,255,0,0,100,1,1
154,624,562,-72.3069,0,255,0,0,100,1,1
155,758,404,165.196,0,255,0,0,100,1,1
156,493,374,-3.87663,0,255,0,0,100,1,1
157,619,400,13.3372,0,255,0,0,100,1,1
158,471,891,-92.4107,0,255,0,0,100,1,1
159,518,162,39.7861,0,255,0,0,100,1,1
160,385,423,-27.9093,0,255,0,0,100,1,1
161,633,828,92.7329,0,255,0,0,100,1,1
162,344,587,-105.296,0,255,0,0,100,1,1
163,563,462,112.923,0,255,0,0,100,1,1
164,641,721,146.106,0,255,0,0,100,1,1
165,538,599,97.8367,0,255,0,0,100,1,1
166,737,282,-79.602,0,255,0,0,100,1,1
167,129,307,113.828,0,255,0,0,100,1,1
168,825,549,-92.2511,0,255,0,0,100,1,1
169,698,663,157.141,0,255,0,0,100,1,1
170,253,841,129.944,0,255,0,0,100,1,1
171,732,625,26.9456,0,255,0,0,100,1,1
172,342,887,-83.0556,0,255,0,0,100,1,1
173,283,757,-9.0229,0,255,0,0,100,1,1
174,623,422,55.9527,0,255,0,0,100,1,1
175,675,496,58.173,0,255,0,0,100,1,1
176,670,337,55.0298,0,255,0,0,100,1,1
177,261,657,176.983,0,255,0,0,100,1,1
178,694,466,-134.382,0,255,0,0,100,1,1
179,130,685,-133.669,0,255,0,0,100,1,1
180,671,644,112.921,0,255,0,0,100,1,1
181,651,143,-34.2886,0,255,0,0,100,1,1
182,225,736,22.7378,0,255,0,0,100,1,1
183,797,608,66.6389,0,255,0,0,100,1,1
184,781,701,-111.413,0,255,0,0,100,1,1
185,326,163,-28.5783,0,255,0,0,100,1,1
186,243,850,170.352,0,255,0,0,100,1,1
187,424,552,171.254,0,255,0,0,100,1,1
188,650,340,34.2179,0,255,0,0,100,1,1
189,426,640,-69.3951,0,255,0,0,100,1,1
190,340,611,144.542,0,255,0,0,100,1,1
191,478,618,172.926,0,255,0,0,100,1,1
192,538,239,136.769,0,255,0,0,100,1,1
193,164,631,-110.074,0,255,0,0,100,1,1
194,489,641,-167.692,0,255,0,0,100,1,1
195,908,654,69.7729,0,255,0,0,100,1,1
196,55,433,-166.043,0,255,0,0,100,1,1
197,534,724,173.231,0,255,0,0,100,1,1
198,471,974,164.256,0,255,0,0,100,1,1
199,415,229,146.829,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
