### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,1683,6372,122.801,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,9015,6337,1
1,8133,3202,1
2,9538,550,1
3,1895,21,1
4,6664,4396,1
5,855,3269,1
6,6043,1574,1
7,8837,1568,1
8,5135,6054,1
9,2885,669,1
10,2367,7108,1
11,767,1526,1
12,7990,8769,1
13,9864,3269,1
14,4579,3603,1
15,7162,2311,1
16,4425,4270,1
17,8617,1771,1
18,9920,5097,1
19,8983,4320,1
20,6403,187,1
21,823,8405,1
22,9786,3625,1
23,1667,7152,1
24,9434,4648,1
25,2306,8296,1
26,4362,3207,1
27,4409,3519,1
28,7637,5393,1
29,3950,6586,1
30,5978,6492,1
31,1871,6960,1
32,8285,6146,1
33,841,9868,1
34,7954,7941,1
35,1672,9716,1
36,4686,8843,1
37,2549,4323,1
38,1184,3191,1
39,4480,5466,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
