### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,3656,8097,8.84075,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,6786,1818,1
1,7366,4475,1
2,6067,2785,1
3,7810,7371,1
4,2072,8241,1
5,2465,1176,1
6,9408,2780,1
7,3849,5463,1
8,4475,9050,1
9,4525,4722,1
10,105,5554,1
11,3347,163,1
12,3814,7687,1
13,1635,4523,1
14,8532,4133,1
15,9812,960,1
16,1467,3978,1
17,7423,7110,1
18,76,8118,1
19,3963,1280,1
20,4055,8226,1
21,9449,6868,1
22,8234,5915,1
23,9636,4454,1
24,2624,748,1
25,36,2559,1
26,531,3255,1
27,6986,7274,1
28,4821,1625,1
29,3457,4581,1
30,2165,9065,1
31,649,9161,1
32,9862,9727,1
33,6881,2537,1
34,8706,8850,1
35,9097,9544,1
36,5849,5954,1
37,900,2341,1
38,2583,9201,1
39,1854,5372,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
