### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,7227,667,-16.9954,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1640,7577,1
1,1959,6874,1
2,3205,296,1
3,8923,3756,1
4,8336,5474,1
5,6847,5221,1
6,9224,4556,1
7,1183,1420,1
8,6845,562,1
9,8362,2299,1
10,2393,7762,1
11,2854,7820,1
12,640,9401,1
13,8111,7717,1
14,787,8539,1
15,7207,1383,1
16,4124,6427,1
17,5383,681,1
18,6706,5090,1
19,5210,935,1
20,6886,7344,1
21,9728,3002,1
22,1954,9899,1
23,5500,9438,1
24,1816,8370,1
25,6381,9542,1
26,3890,9043,1
27,9679,5307,1
28,5652,1042,1
29,8164,8921,1
30,2753,4239,1
31,6013,4290,1
32,9198,9268,1
33,8948,1644,1
34,9032,9224,1
35,424,4913,1
36,5462,8678,1
37,7448,5890,1
38,4633,5326,1
39,9512,6328,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
