### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,513,3536,115.678,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,3193,9827,1
1,8676,4084,1
2,9181,4488,1
3,7573,3946,1
4,7651,5593,1
5,4956,8380,1
6,9905,2036,1
7,9326,1148,1
8,5843,8745,1
9,7796,4207,1
10,5740,358,1
11,3429,512,1
12,9765,7727,1
13,480,7945,1
14,5993,8617,1
15,8425,2759,1
16,1872,2272,1
17,6067,4679,1
18,1228,386,1
19,8262,6299,1
20,6360,5841,1
21,2228,5806,1
22,9486,5152,1
23,4215,3310,1
24,1590,9356,1
25,9268,6031,1
26,642,9076,1
27,6391,3849,1
28,9181,6552,1
29,3562,585,1
30,3315,8341,1
31,4778,5234,1
32,1109,5448,1
33,3024,6399,1
34,6866,5504,1
35,2807,4380,1
36,4060,7475,1
37,104,2276,1
38,947,2044,1
39,8910,8478,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
