### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,6067,8014,1.11197,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1744,7941,1
1,3498,1443,1
2,9849,2918,1
3,6463,7606,1
4,9806,367,1
5,8003,8167,1
6,8610,770,1
7,6478,3900,1
8,3991,7271,1
9,5376,8408,1
10,973,3651,1
11,270,9946,1
12,8933,2384,1
13,5282,3831,1
14,4483,2437,1
15,5550,1603,1
16,2898,5377,1
17,4891,2434,1
18,7384,1967,1
19,5107,5267,1
20,8139,2717,1
21,5571,8883,1
22,1376,6550,1
23,7552,3346,1
24,3970,620,1
25,3635,6808,1
26,1284,5397,1
27,6151,6350,1
28,9488,3538,1
29,4270,9259,1
30,2175,4469,1
31,9621,9333,1
32,3324,6534,1
33,5537,5931,1
34,5708,1460,1
35,1839,2505,1
36,122,1220,1
37,6281,5774,1
38,244,8117,1
39,1773,6345,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
