### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,6769,8267,-39.1303,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1888,8652,1
1,5144,6058,1
2,8511,2505,1
3,5648,5001,1
4,6174,5825,1
5,8889,7708,1
6,4994,2082,1
7,6690,5922,1
8,7126,6175,1
9,8386,3248,1
10,5579,8357,1
11,4126,7674,1
12,869,5764,1
13,5399,832,1
14,4311,9135,1
15,2672,3529,1
16,1945,519,1
17,4376,8624,1
18,8110,7206,1
19,3658,2388,1
20,2116,7175,1
21,2639,9914,1
22,5997,5736,1
23,992,4315,1
24,3078,1379,1
25,1710,6114,1
26,7912,9172,1
27,962,4938,1
28,6066,4629,1
29,5761,239,1
30,3326,9170,1
31,6430,1231,1
32,1402,9233,1
33,3596,4082,1
34,533,2761,1
35,1549,2469,1
36,5973,3991,1
37,4350,1974,1
38,5392,7376,1
39,3992,1322,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
