### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,636,9047,-129.462,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,8585,7095,1
1,8952,182,1
2,7468,8773,1
3,2320,9369,1
4,2354,968,1
5,2226,1389,1
6,2419,2504,1
7,3854,7804,1
8,6564,9591,1
9,332,6312,1
10,7494,1981,1
11,7954,9541,1
12,4286,6609,1
13,1657,3777,1
14,8688,9971,1
15,2908,3699,1
16,4636,5457,1
17,818,7024,1
18,3686,5378,1
19,9053,8552,1
20,7407,2100,1
21,8130,7184,1
22,6168,1214,1
23,2555,4790,1
24,8477,4391,1
25,6909,2502,1
26,414,4607,1
27,7908,9764,1
28,1762,3661,1
29,2793,6503,1
30,2992,1197,1
31,6539,116,1
32,2098,1092,1
33,9045,7825,1
34,5977,916,1
35,9408,2109,1
36,8882,1366,1
37,6518,7670,1
38,5687,5049,1
39,56,426,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
