### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,9344,7264,-4.72453,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,2439,8102,1
1,6728,6859,1
2,2693,6266,1
3,4868,5614,1
4,9697,1702,1
5,2125,3421,1
6,9336,8316,1
7,7584,8733,1
8,3675,168,1
9,7886,84,1
10,9115,6558,1
11,4973,5278,1
12,2930,6670,1
13,5620,8382,1
14,9046,7121,1
15,2017,6021,1
16,2245,6676,1
17,6858,1370,1
18,6234,9794,1
19,2799,5679,1
20,1244,7492,1
21,3283,7926,1
22,8151,152,1
23,4756,4492,1
24,2666,7220,1
25,6558,4611,1
26,7935,6186,1
27,3345,9397,1
28,6764,1612,1
29,4888,6914,1
30,329,9171,1
31,7190,9501,1
32,4733,314,1
33,1567,1809,1
34,4847,8954,1
35,4897,8670,1
36,7220,5569,1
37,9580,7770,1
38,7070,6721,1
39,4434,3497,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
