### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,5392,9477,141.522,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,3171,9805,1
1,1360,4047,1
2,7322,763,1
3,8161,1433,1
4,9395,8041,1
5,8810,2321,1
6,7816,949,1
7,3327,2860,1
8,198,3123,1
9,416,7011,1
10,1421,7615,1
11,6302,6237,1
12,3315,4566,1
13,4319,3982,1
14,8670,3410,1
15,8356,2369,1
16,2169,2045,1
17,2405,2044,1
18,1654,1215,1
19,3492,3159,1
20,7398,2175,1
21,2669,3698,1
22,3095,9557,1
23,6007,3240,1
24,6570,3698,1
25,4587,3765,1
26,2280,6800,1
27,1988,3325,1
28,3157,5061,1
29,8368,7927,1
30,2948,92,1
31,4372,4280,1
32,3865,6686,1
33,2749,8141,1
34,6791,1749,1
35,5610,1583,1
36,6968,1105,1
37,2490,4727,1
38,8596,1192,1
39,5429,4990,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
