### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,5052,6254,28.9445,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,2256,4474,1
1,7688,2372,1
2,5985,4208,1
3,4071,5968,1
4,8156,4834,1
5,7014,5931,1
6,7313,6178,1
7,8016,1586,1
8,1329,8719,1
9,2181,1253,1
10,1189,8168,1
11,6067,7034,1
12,7941,157,1
13,9389,1385,1
14,3071,3229,1
15,3397,9311,1
16,7745,7012,1
17,8898,673,1
18,6315,1512,1
19,2560,7983,1
20,616,614,1
21,261,6080,1
22,806,1695,1
23,5210,3596,1
24,7407,5631,1
25,5325,6072,1
26,6468,1711,1
27,9810,4288,1
28,8147,3630,1
29,3891,8734,1
30,4223,7709,1
31,6773,8526,1
32,3028,5979,1
33,6392,9348,1
34,3504,872,1
35,6122,595,1
36,7490,6446,1
37,2578,6435,1
38,3541,3244,1
39,9901,9226,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
