### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,3514,7701,-141.508,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1486,1647,1
1,6684,8749,1
2,69,8717,1
3,4599,5077,1
4,8936,7089,1
5,4790,2249,1
6,3204,4102,1
7,3244,6985,1
8,6925,4541,1
9,5697,5318,1
10,6766,8179,1
11,7632,7607,1
12,8514,4358,1
13,8650,4802,1
14,6695,9463,1
15,3781,3167,1
16,8647,470,1
17,3396,6732,1
18,2250,3830,1
19,1741,5168,1
20,7635,1673,1
21,8864,5870,1
22,6444,3510,1
23,2097,169,1
24,8429,5288,1
25,2084,827,1
26,2501,8609,1
27,4910,6456,1
28,2656,434,1
29,3218,4908,1
30,2617,2184,1
31,7521,7727,1
32,3553,7566,1
33,5902,3216,1
34,5697,1179,1
35,232,4834,1
36,7878,9205,1
37,2519,801,1
38,9164,4170,1
39,6175,6412,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
