### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,1499,6962,-93.2501,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,4590,1993,1
1,1713,28,1
2,1676,4985,1
3,1739,7331,1
4,4745,132,1
5,7250,9241,1
6,9559,8396,1
7,9587,1612,1
8,6154,5305,1
9,8956,3794,1
10,4059,5021,1
11,6315,4418,1
12,9819,4077,1
13,5722,328,1
14,4069,9698,1
15,368,8506,1
16,796,758,1
17,6268,7077,1
18,8366,9616,1
19,1961,7377,1
20,8759,6831,1
21,8779,976,1
22,8403,8478,1
23,4429,7729,1
24,3116,6754,1
25,9127,3222,1
26,1048,9279,1
27,5562,8998,1
28,7879,6423,1
29,8162,1830,1
30,6979,1464,1
31,3172,2341,1
32,2192,311,1
33,1336,2093,1
34,6410,3153,1
35,714,8715,1
36,2961,549,1
37,8516,4908,1
38,1752,6111,1
39,7907,7696,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
