### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,9048,7860,20.6259,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,8157,4714,1
1,3797,7787,1
2,8783,4195,1
3,7137,9520,1
4,137,7233,1
5,9084,3964,1
6,2267,2265,1
7,8126,6396,1
8,8885,1548,1
9,908,5269,1
10,612,5568,1
11,9429,9923,1
12,8610,5625,1
13,886,8924,1
14,6869,1834,1
15,3227,9475,1
16,9605,4553,1
17,9526,5250,1
18,1077,6823,1
19,983,7678,1
20,8337,2192,1
21,8832,4738,1
22,3438,5495,1
23,8123,3778,1
24,460,5273,1
25,8780,5351,1
26,9016,2445,1
27,9962,8150,1
28,1407,3097,1
29,1773,769,1
30,7649,2086,1
31,2170,5542,1
32,7893,4804,1
33,5472,1071,1
34,7813,9687,1
35,2682,361,1
36,6962,3461,1
37,3236,9891,1
38,4854,110,1
39,2756,774,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
