### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,5177,874,168.931,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,3474,8227,1
1,8081,901,1
2,3288,6327,1
3,2649,415,1
4,2255,7306,1
5,1185,6759,1
6,4333,30,1
7,1709,1484,1
8,9406,6473,1
9,6328,7886,1
10,2421,5656,1
11,8350,8157,1
12,381,394,1
13,4273,2742,1
14,9382,555,1
15,6266,9837,1
16,2951,2178,1
17,7604,5983,1
18,4916,4288,1
19,2017,234,1
20,5962,1594,1
21,6239,9314,1
22,6348,6224,1
23,5112,438,1
24,8154,1790,1
25,905,8775,1
26,1938,3683,1
27,8845,9141,1
28,69,8654,1
29,4754,7316,1
30,9100,5215,1
31,937,890,1
32,7755,5029,1
33,5484,8560,1
34,1981,1231,1
35,3713,8445,1
36,5592,3856,1
37,1700,1156,1
38,4309,5866,1
39,4609,4381,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
