### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,3409,8012,177.035,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,8149,8743,1
1,3047,7036,1
2,8404,5161,1
3,4300,3044,1
4,7304,1009,1
5,4033,8725,1
6,2058,794,1
7,7410,4053,1
8,8451,400,1
9,259,9348,1
10,8525,652,1
11,9956,6598,1
12,8152,1060,1
13,3564,8600,1
14,515,8082,1
15,9113,6082,1
16,111,4806,1
17,9051,7867,1
18,5710,9186,1
19,2904,7035,1
20,1707,5075,1
21,2639,8094,1
22,1202,5420,1
23,5996,692,1
24,3122,2764,1
25,2207,7533,1
26,2564,5227,1
27,1074,1431,1
28,7802,5130,1
29,5534,3486,1
30,4020,6000,1
31,7469,5453,1
32,4355,9889,1
33,2595,7806,1
34,8976,3014,1
35,5856,8305,1
36,4313,9192,1
37,2832,6384,1
38,9713,1567,1
39,3674,1007,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
