### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,3644,930,164.047,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,5374,3522,1
1,9327,868,1
2,6299,7067,1
3,2695,7807,1
4,1521,8661,1
5,4283,8326,1
6,4795,1912,1
7,4895,2083,1
8,1945,1085,1
9,3571,6073,1
10,4404,8748,1
11,3451,1167,1
12,9011,417,1
13,6055,7432,1
14,1108,3678,1
15,9033,3638,1
16,1936,6177,1
17,3937,1431,1
18,548,206,1
19,5356,7024,1
20,4093,2413,1
21,8548,4325,1
22,3976,86,1
23,7478,3392,1
24,6503,3267,1
25,9517,4163,1
26,1345,4864,1
27,4635,5563,1
28,1973,8620,1
29,7941,7106,1
30,4102,2669,1
31,7212,2661,1
32,9123,1604,1
33,3904,7758,1
34,8745,4352,1
35,8318,4382,1
36,6953,9900,1
37,2491,9077,1
38,1104,508,1
39,8693,8478,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
