### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,9189,3159,134.809,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,9423,928,1
1,8653,1756,1
2,6363,1023,1
3,76,7134,1
4,9397,8663,1
5,3838,6523,1
6,9860,1436,1
7,6975,6101,1
8,589,244,1
9,9367,5467,1
10,4687,2727,1
11,7906,2396,1
12,7626,8983,1
13,3808,1274,1
14,5418,5260,1
15,4466,2627,1
16,7962,4810,1
17,3650,8907,1
18,3263,5328,1
19,3807,7022,1
20,8148,4202,1
21,3727,5080,1
22,1064,9715,1
23,7260,7683,1
24,3105,5188,1
25,7227,2059,1
26,9303,3554,1
27,3886,1901,1
28,7162,389,1
29,2245,9504,1
30,3745,6374,1
31,1677,1590,1
32,3194,6924,1
33,665,5262,1
34,3545,7062,1
35,1784,1063,1
36,1101,1330,1
37,8855,4568,1
38,9839,6033,1
39,4500,859,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
