### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,8713,1397,45.8317,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,7452,3247,1
1,8816,8105,1
2,9763,4627,1
3,2164,7429,1
4,5375,5323,1
5,1598,283,1
6,5005,5633,1
7,4794,1775,1
8,3846,3316,1
9,2656,1932,1
10,4249,2219,1
11,6097,9971,1
12,5946,8689,1
13,9683,9236,1
14,9176,1280,1
15,2254,3236,1
16,3192,6963,1
17,7754,7803,1
18,7474,9463,1
19,4821,8966,1
20,7376,5714,1
21,5733,9485,1
22,9374,200,1
23,1027,5629,1
24,4451,8194,1
25,3614,8557,1
26,5742,5220,1
27,205,5050,1
28,7920,435,1
29,3567,176,1
30,157,994,1
31,2530,9374,1
32,2132,2911,1
33,6727,8591,1
34,243,160,1
35,6271,4711,1
36,4579,9741,1
37,4608,2673,1
38,8750,9374,1
39,5210,938,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
