### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,8418,8426,-69.0358,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,4894,5474,1
1,9301,7126,1
2,8934,1575,1
3,1352,4363,1
4,2062,6247,1
5,7827,919,1
6,7399,2799,1
7,5254,2975,1
8,6728,5419,1
9,1026,7324,1
10,9686,6683,1
11,8334,9806,1
12,8893,4571,1
13,2126,9519,1
14,9608,2855,1
15,7170,5505,1
16,6187,8905,1
17,2621,4532,1
18,8099,4129,1
19,1567,5543,1
20,8286,138,1
21,5477,9220,1
22,9642,1950,1
23,6600,6002,1
24,7506,615,1
25,2204,3924,1
26,2143,7574,1
27,3738,3368,1
28,7668,2142,1
29,8706,7738,1
30,8687,2323,1
31,479,8830,1
32,8123,7544,1
33,5464,3110,1
34,8213,6875,1
35,9289,9166,1
36,5412,3294,1
37,675,5993,1
38,2024,606,1
39,3729,9281,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
