### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,8635,389,26.2044,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,825,7279,1
1,2143,9618,1
2,7676,6965,1
3,8334,9461,1
4,1986,312,1
5,9084,4880,1
6,7589,1038,1
7,9970,6866,1
8,5489,649,1
9,3183,7081,1
10,2811,2454,1
11,7307,9162,1
12,1055,4087,1
13,6916,74,1
14,9625,7647,1
15,5462,4845,1
16,8017,4694,1
17,2461,1198,1
18,8685,7471,1
19,9792,714,1
20,1862,5165,1
21,8875,823,1
22,4198,1531,1
23,1608,5584,1
24,9750,4287,1
25,3384,4719,1
26,4096,8191,1
27,1919,8322,1
28,3016,1461,1
29,5333,3716,1
30,8998,7152,1
31,8730,5286,1
32,2629,7656,1
33,6034,914,1
34,6015,710,1
35,9402,9951,1
36,9544,3919,1
37,6651,8133,1
38,2569,1385,1
39,3588,1257,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
