### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,5235,320,158.261,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,2451,2291,1
1,3331,6196,1
2,6913,5733,1
3,7779,9442,1
4,9785,8366,1
5,8805,3463,1
6,4968,1370,1
7,8787,5960,1
8,8604,8438,1
9,9793,5227,1
10,2289,5904,1
11,3537,2472,1
12,302,3530,1
13,7243,9322,1
14,1872,5299,1
15,6370,2966,1
16,1429,1218,1
17,6599,8902,1
18,7653,5090,1
19,1447,3717,1
20,231,3254,1
21,8927,5285,1
22,1796,3457,1
23,5354,3102,1
24,3320,3531,1
25,9162,5933,1
26,9040,9740,1
27,7153,832,1
28,5265,5086,1
29,9086,640,1
30,9859,1192,1
31,2928,1868,1
32,1837,9708,1
33,2651,6822,1
34,5869,6398,1
35,6948,8082,1
36,6873,5592,1
37,9905,6484,1
38,1270,58,1
39,1800,7650,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
