### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,6148,2455,-39.7233,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,174,4959,1
1,1190,5253,1
2,447,502,1
3,5830,8435,1
4,6119,7203,1
5,830,3667,1
6,2616,6463,1
7,274,1648,1
8,5290,2719,1
9,2420,7061,1
10,1841,9597,1
11,2307,2243,1
12,9456,5016,1
13,1013,4848,1
14,7320,1832,1
15,8170,6710,1
16,6453,8048,1
17,6940,7583,1
18,8378,6827,1
19,5735,5893,1
20,3259,7609,1
21,7710,4138,1
22,573,5971,1
23,3507,7591,1
24,7797,7369,1
25,4525,5960,1
26,6418,4559,1
27,6687,6449,1
28,1949,7214,1
29,7263,3246,1
30,7013,2473,1
31,1246,3686,1
32,4661,8908,1
33,3385,9231,1
34,9745,1454,1
35,5443,5420,1
36,8259,6526,1
37,89,8079,1
38,4912,5511,1
39,1471,2304,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
