### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,5597,8730,-71.7667,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,8192,2561,1
1,4778,9985,1
2,7818,9387,1
3,8473,7354,1
4,5726,4483,1
5,1718,3841,1
6,871,7400,1
7,3471,4876,1
8,6704,7635,1
9,4889,3971,1
10,784,5807,1
11,279,8423,1
12,8188,2709,1
13,5838,8927,1
14,6453,923,1
15,6956,9045,1
16,1710,541,1
17,6259,5652,1
18,6209,8710,1
19,3323,6693,1
20,7947,1516,1
21,1853,3272,1
22,2847,3358,1
23,6414,4555,1
24,1703,3325,1
25,2249,1341,1
26,1029,3287,1
27,5105,2068,1
28,453,4337,1
29,5486,7906,1
30,3304,3678,1
31,1335,7951,1
32,1656,5237,1
33,4512,8885,1
34,1367,5472,1
35,8248,221,1
36,2195,6143,1
37,4996,5872,1
38,330,1446,1
39,9941,1502,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
