### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,1866,692,136.701,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,7593,5317,1
1,6482,1145,1
2,4153,1559,1
3,1530,667,1
4,6618,8183,1
5,5092,2175,1
6,7085,6791,1
7,5136,1692,1
8,8256,419,1
9,8569,1899,1
10,8022,368,1
11,5835,5233,1
12,8946,717,1
13,8422,2674,1
14,8734,4525,1
15,3232,3182,1
16,1088,8102,1
17,1952,1525,1
18,6107,289,1
19,8291,2953,1
20,9658,3066,1
21,2337,9068,1
22,8033,3720,1
23,8500,4283,1
24,5211,623,1
25,3004,4559,1
26,1340,1194,1
27,9864,7862,1
28,9718,2792,1
29,5484,2484,1
30,8452,1046,1
31,4244,1166,1
32,9353,7073,1
33,7175,1825,1
34,1546,280,1
35,1915,4262,1
36,6166,1517,1
37,2905,2543,1
38,1512,5246,1
39,9480,9472,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
