### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,7363,7175,-19.1556,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,7372,1490,1
1,649,9978,1
2,1927,5303,1
3,8836,9726,1
4,1760,4835,1
5,5656,5839,1
6,9304,5626,1
7,5275,586,1
8,657,9385,1
9,2543,5072,1
10,8362,3644,1
11,8234,7924,1
12,8735,6174,1
13,2957,1619,1
14,827,4376,1
15,4904,2041,1
16,6130,7522,1
17,9711,923,1
18,3195,6106,1
19,208,2683,1
20,2573,563,1
21,2173,1669,1
22,9932,6403,1
23,1156,585,1
24,6799,2085,1
25,61,5355,1
26,6720,810,1
27,2421,3927,1
28,6539,1523,1
29,3960,804,1
30,911,9174,1
31,4195,5351,1
32,4626,927,1
33,5504,7452,1
34,8953,2547,1
35,9473,2434,1
36,8829,6324,1
37,5423,9879,1
38,6220,4857,1
39,5279,6511,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
