### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,3445,9445,-119.966,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,4151,5275,1
1,1879,1282,1
2,2628,1116,1
3,3849,4807,1
4,2581,2466,1
5,259,5243,1
6,5590,1115,1
7,3235,1462,1
8,4734,5155,1
9,5335,3622,1
10,390,7600,1
11,9568,414,1
12,8489,343,1
13,5985,6703,1
14,6694,8468,1
15,7229,6377,1
16,2885,178,1
17,3171,6757,1
18,2370,8765,1
19,7717,7168,1
20,9114,7861,1
21,4588,2359,1
22,2417,7308,1
23,7470,8184,1
24,3180,8126,1
25,8622,6382,1
26,1362,4823,1
27,4451,5565,1
28,1963,7335,1
29,7295,34,1
30,5894,1485,1
31,2619,2999,1
32,7619,5857,1
33,8563,2457,1
34,8310,562,1
35,4443,524,1
36,3152,5015,1
37,7138,1722,1
38,4061,6483,1
39,7651,1925,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
